,Time,Cells,Cell Increments
0,0,100.0,0.0
1,1,100.0,0.0
2,2,100.0,0.0
3,3,100.0,0.0
4,4,100.0,0.0
5,5,100.0,0.0
6,6,100.0,0.0
7,7,100.0,0.0
8,8,100.0,0.0
9,9,100.0,0.0
10,10,101.0,1.0
11,11,101.0,0.0
12,12,101.0,0.0
13,13,102.0,1.0
14,14,104.0,2.0
15,15,113.0,9.0
16,16,128.0,15.0
17,17,138.0,10.0
18,18,152.0,14.0
19,19,162.0,10.0
20,20,169.0,7.0
21,21,175.0,6.0
22,22,183.0,8.0
23,23,186.0,3.0
24,24,189.0,3.0
25,25,192.0,3.0
26,26,194.0,2.0
27,27,194.0,0.0
28,28,194.0,0.0
29,29,196.0,2.0
30,30,197.0,1.0
31,31,197.0,0.0
32,32,197.0,0.0
33,33,198.0,1.0
34,34,199.0,1.0
35,35,199.0,0.0
36,36,200.0,1.0
37,37,202.0,2.0
38,38,206.0,4.0
39,39,210.0,4.0
40,40,217.0,7.0
41,41,231.0,14.0
42,42,247.0,16.0
43,43,268.0,21.0
44,44,282.0,14.0
45,45,293.0,11.0
46,46,312.0,19.0
47,47,323.0,11.0
48,48,337.0,14.0
49,49,349.0,12.0
50,50,357.0,8.0
51,51,369.0,12.0
52,52,373.0,4.0
53,53,377.0,4.0
54,54,381.0,4.0
55,55,385.0,4.0
56,56,387.0,2.0
57,57,389.0,2.0
58,58,393.0,4.0
59,59,396.0,3.0
60,60,396.0,0.0
61,61,405.0,9.0
62,62,407.0,2.0
63,63,419.0,12.0
64,64,430.0,11.0
65,65,448.0,18.0
66,66,465.0,17.0
67,67,482.0,17.0
68,68,506.0,24.0
69,69,528.0,22.0
70,70,551.0,23.0
71,71,573.0,22.0
72,72,598.0,25.0
73,73,618.0,20.0
74,74,639.0,21.0
75,75,661.0,22.0
76,76,681.0,20.0
77,77,696.0,15.0
78,78,713.0,17.0
79,79,727.0,14.0
80,80,734.0,7.0
81,81,741.0,7.0
82,82,752.0,11.0
83,83,762.0,10.0
84,84,772.0,10.0
85,85,792.0,20.0
86,86,804.0,12.0
87,87,819.0,15.0
88,88,836.0,17.0
89,89,856.0,20.0
90,90,880.0,24.0
91,91,904.0,24.0
92,92,932.0,28.0
93,93,962.0,30.0
94,94,999.0,37.0
95,95,1041.0,42.0
96,96,1081.0,40.0
